Ref,Status,Location,Created,Status Changed,Priority,Cause,project,Report Status,Task Group
T1.23453447,Closed,JPC Project Management>EHS Management>01 Inspections,03/07/2020,10/07/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23453465,Closed,JPC Project Management>EHS Management>01 Inspections,03/07/2020,10/07/2020,Behavioural Failure,JPC - Safety - Storage,1328,Closed,Safety
T1.23453468,Closed,JPC Project Management>EHS Management>01 Inspections,03/07/2020,10/07/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23453507,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,03/07/2020,03/07/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1328,Closed,Safety
T1.23472817,Closed,JPC Project Management>EHS Management>01 Inspections,03/07/2020,03/07/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23473700,Closed,JPC Project Management>EHS Management>01 Inspections,03/07/2020,03/07/2020,Behavioural Failure,JPC - Safety - Lifting / Slinging,1328,Closed,Safety
T1.23473701,JPC Sign Off / Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>1. Bracken Lane (South Elevation)>3rd to 4th Floor,02/07/2020,02/07/2020,Other,JPC - Quality - Workmanship,1328,Closed,Quality
T1.23473702,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23473703,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23473704,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - Storage,1328,Closed,Safety
T1.23473705,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - Scaffolding,1328,Closed,Safety
T1.23473706,JPC Sign Off,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23475675,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23475677,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23475678,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23475680,EHS Good Observation,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,02/07/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1328,Closed,Safety
T1.23487180,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - Scaffolding,1328,Closed,Safety
T1.23504269,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23528206,EHS Good Observation,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,02/07/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23528207,EHS Good Observation,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,02/07/2020,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23528222,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - Exclusion Zones,1328,Closed,Safety
T1.23528230,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23528275,EHS Good Observation,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,02/07/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23528276,Closed,JPC Project Management>EHS Management>04 Staturatury Forms,02/07/2020,03/07/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23528529,Open / Ongoing Works,QC & BC(A)R>ITP 01 Structural,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Design Team
T1.23528530,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,31/08/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Site Management
T1.23551999,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,31/08/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Site Management
T1.23552001,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,31/08/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Site Management
T1.23552002,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23552004,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23582401,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23582402,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23583558,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23583819,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23583822,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23583823,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23583830,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23583835,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23584173,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23584182,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23584223,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23585282,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23585336,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23585437,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23585470,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23593035,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23593040,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23593043,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23593075,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23593079,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23602717,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23602718,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>1st Floor Plan>Rooms>RM.1.105,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Site Management
T1.23602719,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>1st Floor Plan,02/07/2020,02/07/2020,Other,JPC - Safety - House Keeping ,1328,Open,Design Team
T1.23602720,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,01/07/2020,01/07/2020,Behavioural Failure,JPC - Safety - Public Interface / Hoarding,1328,Closed,Safety
T1.23602722,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,01/07/2020,01/07/2020,Behavioural Failure,JPC - Safety - Public Interface / Hoarding,1328,Closed,Safety
T1.23603363,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,01/07/2020,01/07/2020,Behavioural Failure,JPC - Safety - Public Interface / Hoarding,1328,Closed,Safety
T1.23608647,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,01/07/2020,01/07/2020,Behavioural Failure,JPC - Safety - Public Interface / Hoarding,1328,Closed,Safety
T1.23608648,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23608649,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23609792,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23609793,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23609834,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Scaffolding,1328,Closed,Safety
T1.23609835,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23609836,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23609837,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,Behavioural Failure,JPC - Safety - Temporary Electrics,1328,Closed,Safety
T1.23609838,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Scaffolding,1328,Closed,Safety
T1.23609859,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23609878,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23609880,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23609881,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23612378,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Scaffolding,1328,Closed,Safety
T1.23623421,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23630844,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23631268,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23641686,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Temporary Electrics,1328,Closed,Safety
T1.23649819,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Temporary Electrics,1328,Closed,Safety
T1.23668243,Closed,JPC Project Management>EHS Management>01 Inspections,01/07/2020,03/07/2020,System Failure,JPC - Safety - Electrical,1328,Closed,Safety
T1.23668250,JPC Sign Off / Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>6th Floor Plan,01/07/2020,03/07/2020,Other,JPC - Quality - Management,1328,Closed,Quality
T1.23668257,JPC Sign Off / Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>5th Floor Plan,01/07/2020,03/07/2020,Other,JPC - Quality - Management,1328,Closed,Quality
T1.23668510,JPC Sign Off / Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>1st Floor Plan,01/07/2020,03/07/2020,Other,JPC - Quality - Management,1328,Closed,Quality
T1.23668625,Closed,JPC Project Management>EHS Management>01 Inspections,30/06/2020,03/07/2020,Behavioural Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T1.23676607,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,30/06/2020,30/06/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23676613,Closed,JPC Project Management>EHS Management>01 Inspections,30/06/2020,03/07/2020,Behavioural Failure,JPC - Safety - Scaffolding,1328,Closed,Safety
T1.23678902,Closed,JPC Project Management>EHS Management>01 Inspections,30/06/2020,03/07/2020,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23678905,Closed,JPC Project Management>EHS Management>01 Inspections,30/06/2020,03/07/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1328,Closed,Safety
T1.23678906,Closed,JPC Project Management>EHS Management>01 Inspections,30/06/2020,03/07/2020,Behavioural Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T1.23678954,Closed,JPC Project Management>EHS Management>01 Inspections,30/06/2020,03/07/2020,Behavioural Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T1.23678957,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,30/06/2020,30/06/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23678958,Closed,JPC Project Management>EHS Management>01 Inspections,30/06/2020,03/07/2020,System Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T1.23683670,Closed,JPC Project Management>EHS Management>01 Inspections,30/06/2020,03/07/2020,Behavioural Failure,JPC - Safety - Storage,1328,Closed,Safety
T1.23683671,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>4. Courtyard (South Elevation)>7th floor to Roof,30/06/2020,21/07/2020,Other,JPC - Program - 4 Pre-requisite Work,1328,Closed,Site Management
T1.23683673,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>5th Floor Plan>Area 1,30/06/2020,06/07/2020,Other,JPC - Safety - Access,1328,Closed,Site Management
T1.23683885,JPC Sign Off / Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>6. Townsend Street (North Elevation)>2nd to 3rd Floor,29/06/2020,29/06/2020,Other,JPC - Quality - Workmanship,1328,Closed,Quality
T1.23683919,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 3>RM.02.276,29/06/2020,21/08/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23683922,Closed,JPC Project Management>Site Management,29/06/2020,03/07/2020,Other,JPC - Safety - Working At Height,1328,Closed,Safety
T1.23683924,EHS Good Observation,JPC Project Management>Site Management,29/06/2020,29/06/2020,Behavioural Failure,JPC - Safety - Exclusion Zones,1328,Closed,Safety
T1.23683930,Closed,JPC Project Management>Site Management,29/06/2020,03/07/2020,Behavioural Failure,JPC - Safety - Working At Height,1328,Closed,Safety
T1.23683932,Closed,JPC Project Management>Site Management,29/06/2020,03/07/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23683933,Closed,JPC Project Management>Site Management,29/06/2020,03/07/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23683937,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,26/06/2020,26/06/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23683940,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,03/07/2020,System Failure,JPC - Safety - Scaffolding,1328,Closed,Safety
T1.23683944,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,03/07/2020,System Failure,JPC - Safety - Storage,1328,Closed,Safety
T1.23683949,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,03/07/2020,System Failure,JPC - Safety - Storage,1328,Closed,Safety
T1.23683951,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,03/07/2020,System Failure,JPC - Safety - Storage,1328,Closed,Safety
T1.23683952,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,03/07/2020,System Failure,JPC - Safety - Environmental,1328,Closed,Safety
T1.23683954,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,03/07/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23683958,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,26/06/2020,26/06/2020,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23684443,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,03/07/2020,System Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23684444,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2>RM.02.252,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23684445,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2>RM.02.252,26/06/2020,25/08/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23684584,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2>RM.02.230,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23685331,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2>RM.02.230,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23686221,JPC Sign Off,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2>RM.02.240,26/06/2020,10/09/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23690382,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Common Areas>RM.02.341 - Corridor,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23690383,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1>RM.03.310,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23690384,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1>RM.03.322,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23690385,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1>RM.03.327,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23690386,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 2>2nd Floor Plan>Rooms>R.02.209,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23690387,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 1>2nd Floor Plan>Common Areas>R.02.249 Store,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23696060,Works Complete / Resolved,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>6th Floor Plan>Common Areas>RM.06.733 - Corridor,26/06/2020,10/09/2020,Other,JPC - Safety - House Keeping ,1328,Open,Design Team
T1.23696061,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>5th Floor Plan>Area 1>RM.05.525,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23696092,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>5th Floor Plan>Common Areas>RM.05.633 - Corridor,26/06/2020,26/06/2020,Other,JPC - Safety - House Keeping ,1328,Open,Design Team
T1.23696098,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>5th Floor Plan>Common Areas>RM.05.633 - Corridor,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23696101,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>5th Floor Plan>Common Areas>RM.05.634 - Corridor,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23696102,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 3>Basement Plan,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23696103,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Common Areas>R.01.238 - Corridor,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23718919,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Common Areas>R.01.232 - Corridor,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23718920,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Ground Floor Plan,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23718922,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2>RM.01.136,26/06/2020,25/08/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23718924,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 2>2nd Floor Plan>Rooms>R.02.200,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23718926,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 2>2nd Floor Plan>Rooms>R.02.209,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23718928,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 2>2nd Floor Plan>Rooms>R.02.216,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23718931,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 2>1st Floor Plan,26/06/2020,21/08/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23718934,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 2>1st Floor Plan,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23718938,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Common Areas>R.01.240 - Corridor,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23723958,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Common Areas,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23728035,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Ground Floor Plan,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23729022,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23729056,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 1>1st Floor Plan,26/06/2020,25/08/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23736904,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 1>1st Floor Plan,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23744620,3rd Party Sign Off - Closed,QC & BC(A)R>ITP 01 Structural>Block 1>1st Floor Plan,26/06/2020,29/06/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Design Team
T1.23744622,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,26/06/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23744625,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,26/06/2020,26/06/2020,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23744627,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,26/06/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23818010,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,26/06/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23818030,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,26/06/2020,Behavioural Failure,JPC - Quality - Materials,1328,Closed,Safety
T1.23821203,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,26/06/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.23821204,Closed,JPC Project Management>EHS Management>01 Inspections,26/06/2020,26/06/2020,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.23821439,Closed,JPC Project Management>EHS Management>01 Inspections,25/06/2020,26/06/2020,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
