Ref,Status,Location,Created,Status Changed,Project,Report Forms Status,Report Forms Group
F108023.80,Open / Ongoing Works,3rd to 4th Floor>8. Townsend Street (North Elevation)>Elevations>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,27/04/2020,27/04/2020,1328,Open,Quality
F108023.81,Open / Ongoing Works,3rd to 4th Floor>8. Townsend Street (North Elevation)>Elevations>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,27/04/2020,27/04/2020,1328,Open,Quality
F108023.82,Open / Ongoing Works,3rd to 4th Floor>8. Townsend Street (North Elevation)>Elevations>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,27/04/2020,27/04/2020,1328,Open,Quality
F108023.83,Open / Ongoing Works,3rd to 4th Floor>8. Townsend Street (North Elevation)>Elevations>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,27/04/2020,27/04/2020,1328,Open,Quality
F108023.84,Open / Ongoing Works,3rd to 4th Floor>8. Townsend Street (North Elevation)>Elevations>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,27/04/2020,27/04/2020,1328,Open,Quality
F108023.85,Open / Ongoing Works,1st to 2nd Floor>7. Coutyard (South Elevation)>Elevations>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,27/04/2020,27/04/2020,1328,Open,Quality
F108023.86,Open / Ongoing Works,1st to 2nd Floor>7. Coutyard (South Elevation)>Elevations>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,27/04/2020,27/04/2020,1328,Open,Quality
F108023.87,Open / Ongoing Works,1st to 2nd Floor>7. Coutyard (South Elevation)>Elevations>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,27/04/2020,27/04/2020,1328,Open,Quality
F108023.88,Open / Ongoing Works,1st to 2nd Floor>7. Coutyard (South Elevation)>Elevations>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,27/04/2020,27/04/2020,1328,Open,Quality
F108023.89,Completed and signed off,1328 - Townsend St,01/05/2020,01/05/2020,1328,Closed,Safety
F108023.9,Closed,1328 - Townsend St,11/05/2020,11/05/2020,1328,Closed,Site Management
F108023.90,Closed,1328 - Townsend St,11/05/2020,11/05/2020,1328,Closed,Site Management
F108023.91,Closed,6th Floor Plan>Block 4>ITP 01 Structural>QC & BC(A)R,15/05/2020,08/09/2020,1328,Closed,Quality
F108023.92,Closed,01 Inspections>EHS Management>JPC Project Management,18/05/2020,12/06/2020,1328,Closed,Safety
F108023.93,Opened,Site Management>JPC Project Management,18/05/2020,18/05/2020,1328,Open,Safety
F108023.94,Completed and signed off,01 Daily Site Diary>Site Management>JPC Project Management,18/05/2020,08/09/2020,1328,Closed,Site Management
F108023.95,Open / Ongoing Works,General Site Plan>JPC Project Management,19/05/2020,19/05/2020,1328,Open,Quality
F108023.96,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,19/05/2020,19/05/2020,1328,Open,Safety
F108023.97,Completed and signed off,01 Daily Site Diary>Site Management>JPC Project Management,19/05/2020,08/09/2020,1328,Closed,Site Management
F108023.98,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,20/05/2020,20/05/2020,1328,Open,Safety
F108023.99,Completed and signed off,01 Daily Site Diary>Site Management>JPC Project Management,20/05/2020,08/09/2020,1328,Closed,Site Management
F109023.10,Opened,01 Daily Site Diary>Site Management>JPC Project Management,20/05/2020,20/05/2020,1328,Open,Site Management
F109023.100,Open / Ongoing Works,6th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,21/05/2020,21/05/2020,1328,Open,Quality
F109023.101,Open / Ongoing Works,5th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,21/05/2020,21/05/2020,1328,Open,Quality
F109023.102,Open / Ongoing Works,5th Floor Plan>Block 4>ITP 01 Structural>QC & BC(A)R,21/05/2020,21/05/2020,1328,Open,Quality
F109023.103,Closed,01 Inspections>EHS Management>JPC Project Management,21/05/2020,12/06/2020,1328,Closed,Safety
F109023.104,Opened,01 Daily Site Diary>Site Management>JPC Project Management,21/05/2020,21/05/2020,1328,Open,Site Management
F109023.105,Opened,01 Daily Site Diary>Site Management>JPC Project Management,21/05/2020,21/05/2020,1328,Open,Site Management
F109023.106,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,22/05/2020,28/05/2020,1328,Open,Quality
F109023.107,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,22/05/2020,28/05/2020,1328,Open,Quality
F109023.108,Closed,01 Inspections>EHS Management>JPC Project Management,22/05/2020,12/06/2020,1328,Closed,Safety
F109023.109,Opened,01 Daily Site Diary>Site Management>JPC Project Management,23/05/2020,23/05/2020,1328,Open,Site Management
F109023.11,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,25/05/2020,29/05/2020,1328,Open,Quality
F109023.110,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,25/05/2020,29/05/2020,1328,Open,Quality
F109023.111,Closed,01 Inspections>EHS Management>JPC Project Management,25/05/2020,12/06/2020,1328,Closed,Safety
F109023.112,Closed,Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,26/05/2020,10/08/2020,1328,Closed,Quality
F109023.113,Closed,5. Moss Street (East Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,26/05/2020,29/05/2020,1328,Closed,Quality
F109023.114,Closed,6. Townsend Street (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,26/05/2020,29/05/2020,1328,Closed,Quality
F109023.115,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,26/05/2020,02/06/2020,1328,Open,Quality
F109023.116,Closed JPC Sign Off,1st Floor Plan>Block 2>ITP 01 Structural>QC & BC(A)R,26/05/2020,21/07/2020,1328,Closed,Quality
F109023.117,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,26/05/2020,02/06/2020,1328,Open,Quality
F109023.118,Closed,01 Inspections>EHS Management>JPC Project Management,26/05/2020,12/06/2020,1328,Closed,Safety
F109023.119,Completed and signed off,EHS Management>JPC Project Management,26/05/2020,12/06/2020,1328,Closed,Safety
F109023.120,Completed and signed off,01 Daily Site Diary>Site Management>JPC Project Management,26/05/2020,08/09/2020,1328,Closed,Site Management
F109023.122,Closed JPC Sign Off,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,27/05/2020,16/07/2020,1328,Closed,Quality
F109023.123,Closed JPC Sign Off,1st Floor Plan>Block 2>ITP 01 Structural>QC & BC(A)R,27/05/2020,27/05/2020,1328,Closed,Quality
F109023.124,Closed,01 Inspections>EHS Management>JPC Project Management,27/05/2020,12/06/2020,1328,Closed,Safety
F109023.125,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,27/05/2020,12/06/2020,1328,Closed,Safety
F109023.126,Completed and signed off,01 Daily Site Diary>Site Management>JPC Project Management,27/05/2020,22/07/2020,1328,Closed,Site Management
F109023.127,Opened,01 Daily Site Diary>Site Management>JPC Project Management,27/05/2020,27/05/2020,1328,Open,Site Management
F109023.128,Open / Ongoing Works,2nd to 3rd Floor>5. Moss Street (East Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,28/05/2020,28/05/2020,1328,Open,Quality
F109023.129,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,28/05/2020,28/05/2020,1328,Closed,Quality
F109023.13,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,28/05/2020,19/06/2020,1328,Open,Quality
F109023.130,JPC Sign Off,ITP 04 M&E Services>QC & BC(A)R,28/05/2020,29/06/2020,1328,Closed,Quality
F109023.131,JPC Sign Off,ITP 04 M&E Services>QC & BC(A)R,28/05/2020,23/06/2020,1328,Closed,Quality
F109023.132,Open / Ongoing Works,Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,28/05/2020,28/05/2020,1328,Open,Quality
F109023.133,Closed,ITP 04 M&E Services>QC & BC(A)R,28/05/2020,10/08/2020,1328,Closed,Quality
F109023.134,Closed,ITP 04 M&E Services>QC & BC(A)R,28/05/2020,10/08/2020,1328,Closed,Quality
F109023.137,Open / Ongoing Works,1st to 2nd Floor>5. Moss Street (East Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,28/05/2020,28/05/2020,1328,Open,Quality
F109023.138,Open / Ongoing Works,3rd to 4th Floor>5. Moss Street (East Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,28/05/2020,28/05/2020,1328,Open,Quality
F109023.139,Open / Ongoing Works,4th to 5th Floor>5. Moss Street (East Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,28/05/2020,28/05/2020,1328,Open,Quality
F109023.140,Closed,01 Inspections>EHS Management>JPC Project Management,28/05/2020,12/06/2020,1328,Closed,Safety
F109023.141,Completed and signed off,ITP 02 Architectural & M&E Services>QC & BC(A)R,28/05/2020,12/06/2020,1328,Closed,Safety
F109023.142,Opened,01 Daily Site Diary>Site Management>JPC Project Management,28/05/2020,28/05/2020,1328,Open,Site Management
F109023.143,Closed,7th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,29/05/2020,21/07/2020,1328,Closed,Quality
F109023.144,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,29/05/2020,19/06/2020,1328,Open,Quality
F109023.145,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,29/05/2020,05/06/2020,1328,Open,Quality
F109023.146,Closed,1st to 2nd Floor>6. Townsend Street (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,29/05/2020,10/09/2020,1328,Closed,Quality
F109023.147,Closed,1st to 2nd Floor>6. Townsend Street (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,29/05/2020,10/09/2020,1328,Closed,Quality
F109023.148,Open / Ongoing Works,2nd to 3rd Floor>6. Townsend Street (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,29/05/2020,29/05/2020,1328,Open,Quality
F109023.15,Closed,2nd to 3rd Floor>6. Townsend Street (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,29/05/2020,10/09/2020,1328,Closed,Quality
F109023.150,Closed,3rd to 4th Floor>6. Townsend Street (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,29/05/2020,10/09/2020,1328,Closed,Quality
F109023.151,Open / Ongoing Works,4th to 5th Floor>6. Townsend Street (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,29/05/2020,29/05/2020,1328,Open,Quality
F109023.152,Open / Ongoing Works,4th to 5th Floor>6. Townsend Street (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,29/05/2020,29/05/2020,1328,Open,Quality
F109023.153,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,29/05/2020,12/06/2020,1328,Closed,Safety
F109023.154,Closed,01 Inspections>EHS Management>JPC Project Management,29/05/2020,12/06/2020,1328,Closed,Safety
F109023.155,Closed,01 Inspections>EHS Management>JPC Project Management,29/05/2020,12/06/2020,1328,Closed,Safety
F109023.156,Opened,01 Daily Site Diary>Site Management>JPC Project Management,29/05/2020,29/05/2020,1328,Open,Site Management
F109023.157,Closed,7th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,02/06/2020,21/07/2020,1328,Closed,Quality
F109023.158,Closed,7th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,02/06/2020,21/07/2020,1328,Closed,Quality
F109023.159,3rd Party Sign Off - Closed,ITP 04 M&E Services>QC & BC(A)R,02/06/2020,29/06/2020,1328,Closed,Quality
F109023.16,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,02/06/2020,08/06/2020,1328,Open,Quality
F109023.160,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,02/06/2020,08/06/2020,1328,Open,Quality
F109023.161,Closed JPC Sign Off,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,02/06/2020,14/07/2020,1328,Closed,Quality
F109023.162,Open / Ongoing Works,1328 - Townsend St,02/06/2020,02/06/2020,1328,Open,Quality
F109023.163,Open / Ongoing Works,ITP 04 M&E Services>QC & BC(A)R,02/06/2020,02/06/2020,1328,Open,Quality
F109023.164,Open / Ongoing Works,RM.01.104>Area 1>1st Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,02/06/2020,02/06/2020,1328,Open,Quality
F109023.165,Closed,01 Inspections>EHS Management>JPC Project Management,02/06/2020,12/06/2020,1328,Closed,Safety
F109023.166,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,02/06/2020,12/06/2020,1328,Closed,Safety
F109023.167,Opened,01 Daily Site Diary>Site Management>JPC Project Management,02/06/2020,02/06/2020,1328,Open,Site Management
F109023.168,Closed JPC Reviewed,03 Material Deliveries>Site Management>JPC Project Management,03/06/2020,03/06/2020,1328,Closed,Quality
F109023.169,Open / Ongoing Works,1st Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.17,Open / Ongoing Works,3rd Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.170,Open / Ongoing Works,4th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.171,Open / Ongoing Works,5th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.172,Open / Ongoing Works,5th Floor Plan>Block 4>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.173,Open / Ongoing Works,3rd Floor Plan>Block 4>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.174,Open / Ongoing Works,2nd Floor Plan>Block 4>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.175,Open / Ongoing Works,2nd Floor Plan>Block 4>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.176,Open / Ongoing Works,1st Floor Plan>Block 4>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.177,Open / Ongoing Works,4th Floor Plan>Block 4>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.178,Open / Ongoing Works,Roof Plan>Block 3>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.179,Closed JPC Sign Off,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,03/06/2020,14/07/2020,1328,Closed,Quality
F109023.18,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,03/06/2020,09/06/2020,1328,Open,Quality
F109023.180,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,03/06/2020,09/06/2020,1328,Open,Quality
F109023.181,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,03/06/2020,09/06/2020,1328,Open,Quality
F109023.182,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,03/06/2020,09/06/2020,1328,Open,Quality
F109023.183,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,03/06/2020,19/06/2020,1328,Open,Quality
F109023.184,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,03/06/2020,03/06/2020,1328,Open,Quality
F109023.185,Closed,1st Floor Plan>Block 2>ITP 01 Structural>QC & BC(A)R,03/06/2020,17/07/2020,1328,Closed,Quality
F109023.186,JPC Sign Off / Closed,7th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,03/06/2020,20/07/2020,1328,Closed,Quality
F109023.187,Open / Ongoing Works,RM.03.360>Area 3>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.188,Open / Ongoing Works,RM.03.358>Area 3>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.189,Open / Ongoing Works,RM.03.356>Area 3>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.19,Open / Ongoing Works,RM.03.354>Area 3>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.190,Open / Ongoing Works,RM.03.315>Area 1>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.191,Closed JPC Sign Off,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,03/06/2020,03/06/2020,1328,Closed,Quality
F109023.192,Closed,Area 2>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,10/09/2020,1328,Closed,Quality
F109023.193,Closed,3rd to 4th Floor>1. Bracken Lane (South Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,10/09/2020,1328,Closed,Quality
F109023.194,Open / Ongoing Works,3rd to 4th Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.195,Closed,Area 2>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,10/09/2020,1328,Closed,Quality
F109023.196,Open / Ongoing Works,Area 3>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,03/06/2020,1328,Open,Quality
F109023.197,Closed,Area 3>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,10/09/2020,1328,Closed,Quality
F109023.198,Closed,Area 3>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,03/06/2020,10/09/2020,1328,Closed,Quality
F109023.199,Closed,01 Inspections>EHS Management>JPC Project Management,03/06/2020,12/06/2020,1328,Closed,Safety
F109023.2,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,03/06/2020,12/06/2020,1328,Closed,Safety
F109023.20,Opened,01 Daily Site Diary>Site Management>JPC Project Management,03/06/2020,03/06/2020,1328,Open,Site Management
F109023.200,Open / Ongoing Works,Roof Plan>Block 3>ITP 01 Structural>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Design Team
F109023.203,Open / Ongoing Works,7th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Design Team
F109023.204,Open / Ongoing Works,Roof Plan>Block 3>ITP 01 Structural>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Quality
F109023.205,Closed,Roof Plan>Block 3>ITP 01 Structural>QC & BC(A)R,04/06/2020,21/07/2020,1328,Closed,Quality
F109023.206,Closed,Roof Plan>Block 3>ITP 01 Structural>QC & BC(A)R,04/06/2020,21/07/2020,1328,Closed,Quality
F109023.207,Open / Ongoing Works,Roof Plan>Block 3>ITP 01 Structural>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Quality
F109023.208,Open / Ongoing Works,R.01.226 - Plant Room>Common Areas>1st Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Quality
F109023.209,Open / Ongoing Works,RM.02.240>Area 2>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Quality
F109023.21,Open / Ongoing Works,RM.02.238>Area 2>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Quality
F109023.213,Open / Ongoing Works,RM.02.236>Area 2>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Quality
F109023.214,Open / Ongoing Works,RM.02.234>Area 2>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Quality
F109023.215,Open / Ongoing Works,RM.02.232>Area 2>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Quality
F109023.216,Open / Ongoing Works,RM.02.230>Area 2>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,04/06/2020,04/06/2020,1328,Open,Quality
F109023.217,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,04/06/2020,19/06/2020,1328,Open,Quality
F109023.218,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,04/06/2020,19/06/2020,1328,Open,Quality
F109023.220,Closed,4th to 5th Floor>1. Bracken Lane (South Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,04/06/2020,10/09/2020,1328,Closed,Quality
F109023.221,Closed,Area 2>3rd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,04/06/2020,10/09/2020,1328,Closed,Quality
F109023.222,Closed JPC Sign Off,Roof Plan>Block 3>ITP 01 Structural>QC & BC(A)R,04/06/2020,09/06/2020,1328,Closed,Quality
F109023.223,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,04/06/2020,12/06/2020,1328,Closed,Safety
F109023.224,Closed,01 Inspections>EHS Management>JPC Project Management,04/06/2020,12/06/2020,1328,Closed,Safety
F109023.225,Opened,01 Daily Site Diary>Site Management>JPC Project Management,04/06/2020,04/06/2020,1328,Open,Site Management
F109023.226,JPC Sign Off,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,05/06/2020,08/09/2020,1328,Closed,Design Team
F109023.228,Open / Ongoing Works,1st Floor Plan>Block 2>ITP 01 Structural>QC & BC(A)R,05/06/2020,05/06/2020,1328,Open,Design Team
F109023.229,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2020,05/06/2020,1328,Open,Quality
F109023.230,Open / Ongoing Works,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2020,05/06/2020,1328,Open,Quality
F109023.231,Open / Ongoing Works,Quality Management>JPC Project Management,05/06/2020,05/06/2020,1328,Open,Quality
F109023.232,Closed JPC Sign Off,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,05/06/2020,14/07/2020,1328,Closed,Quality
F109023.234,Closed,Area 2>1st Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,05/06/2020,10/09/2020,1328,Closed,Quality
F109023.235,Closed JPC Sign Off,1st Floor Plan>Block 2>ITP 01 Structural>QC & BC(A)R,05/06/2020,16/07/2020,1328,Closed,Quality
F109023.236,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,05/06/2020,12/06/2020,1328,Open,Quality
F109023.237,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,05/06/2020,12/06/2020,1328,Open,Quality
F109023.239,Closed,Area 1>4th Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,05/06/2020,10/09/2020,1328,Closed,Quality
F109023.24,Closed,01 Inspections>EHS Management>JPC Project Management,05/06/2020,12/06/2020,1328,Closed,Safety
F109023.240,Closed,01 Inspections>EHS Management>JPC Project Management,05/06/2020,12/06/2020,1328,Closed,Safety
F109023.241,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,05/06/2020,12/06/2020,1328,Closed,Safety
F109023.242,Opened,01 Daily Site Diary>Site Management>JPC Project Management,05/06/2020,05/06/2020,1328,Open,Site Management
F109023.243,Opened,01 Daily Site Diary>Site Management>JPC Project Management,06/06/2020,06/06/2020,1328,Open,Site Management
F109023.244,Open / Ongoing Works,7th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,08/06/2020,08/06/2020,1328,Open,Quality
F109023.245,JPC Sign Off / Closed,Roof Plan>Block 3>ITP 01 Structural>QC & BC(A)R,08/06/2020,08/09/2020,1328,Closed,Quality
F109023.246,JPC Sign Off,5. Moss Street (East Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,08/06/2020,22/06/2020,1328,Closed,Quality
F109023.247,Closed JPC Sign Off,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,08/06/2020,14/07/2020,1328,Closed,Quality
F109023.248,Closed,1st Floor Plan>Block 2>ITP 01 Structural>QC & BC(A)R,08/06/2020,21/07/2020,1328,Closed,Quality
F109023.249,Closed JPC Sign Off,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,08/06/2020,14/07/2020,1328,Closed,Quality
F109023.25,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,08/06/2020,12/06/2020,1328,Open,Quality
F109023.251,Open / Ongoing Works,RM.02.246>Area 2>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,08/06/2020,08/06/2020,1328,Open,Quality
F109023.254,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,08/06/2020,18/06/2020,1328,Open,Quality
F109023.255,Open / Ongoing Works,RM.02.242>Area 2>2nd Floor Plan>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,08/06/2020,08/06/2020,1328,Open,Quality
F109023.256,Closed JPC Sign Off,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,08/06/2020,08/06/2020,1328,Closed,Quality
F109023.257,Closed JPC Sign Off,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,08/06/2020,08/06/2020,1328,Closed,Quality
F109023.258,Open / Ongoing Works,2nd to 3rd Floor>4. Courtyard (South Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,08/06/2020,08/06/2020,1328,Open,Quality
F109023.259,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,08/06/2020,12/06/2020,1328,Closed,Safety
F109023.26,Closed,01 Inspections>EHS Management>JPC Project Management,08/06/2020,12/06/2020,1328,Closed,Safety
F109023.260,Closed,01 Inspections>EHS Management>JPC Project Management,08/06/2020,12/06/2020,1328,Closed,Safety
F109023.261,Opened,01 Daily Site Diary>Site Management>JPC Project Management,08/06/2020,08/06/2020,1328,Open,Site Management
F109023.262,Closed,1st Floor Plan>Block 1>ITP 01 Structural>QC & BC(A)R,09/06/2020,21/07/2020,1328,Closed,Quality
F109023.263,Closed,Roof Plan>Block 3>ITP 01 Structural>QC & BC(A)R,09/06/2020,21/07/2020,1328,Closed,Quality
F109023.264,Closed,1328 - Townsend St,09/06/2020,21/07/2020,1328,Closed,Quality
F109023.265,Ready to be delivered,QC Training Records>Quality Management>JPC Project Management,09/06/2020,12/06/2020,1328,Open,Quality
F109023.266,Closed,Roof Plan>Block 3>ITP 01 Structural>QC & BC(A)R,09/06/2020,21/07/2020,1328,Closed,Quality
F109023.267,Closed,7th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,09/06/2020,08/09/2020,1328,Closed,Quality
F109023.269,Closed,7th Floor Plan>Block 3>ITP 01 Structural>QC & BC(A)R,09/06/2020,21/07/2020,1328,Closed,Quality
F109023.27,Closed JPC Sign Off,1328 - Townsend St,09/06/2020,09/06/2020,1328,Closed,Quality
F109023.270,Closed JPC Sign Off,1328 - Townsend St,09/06/2020,09/06/2020,1328,Closed,Quality
F109023.271,Closed JPC Sign Off,1328 - Townsend St,09/06/2020,09/06/2020,1328,Closed,Quality
F109023.272,Closed JPC Sign Off,1328 - Townsend St,09/06/2020,09/06/2020,1328,Closed,Quality
